name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"L[11,4]",-0.01884,0.02028,0.2505,-0.4793,-0.02764,0.4884,152.6,0.004169,1.013
"L[11,5]",-0.01993,0.01425,0.2276,-0.5001,-0.01292,0.4255,255.2,0.006973,1.015
"L[11,6]",-0.003222,0.01605,0.2306,-0.4692,0.004411,0.4008,206.3,0.005638,1.013
"L[11,7]",0.003546,0.01699,0.2519,-0.5130,0.01524,0.4692,219.8,0.006006,1.028
"L[11,8]",-0.04168,0.01706,0.2474,-0.5620,-0.05322,0.4297,210.3,0.005747,1.004
"L[11,9]",0.007650,0.02168,0.2508,-0.4619,0.02247,0.4581,133.8,0.003655,1.019
"L[11,10]",-0.02185,0.02078,0.2655,-0.5164,-0.03200,0.5140,163.2,0.004459,1.012
"L[11,11]",0.6008,0.008157,0.1320,0.3108,0.6079,0.8270,262.0,0.007158,1.003
"L[11,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[11,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[12,1]",0.02381,0.01733,0.2341,-0.5179,0.02676,0.4287,182.5,0.004987,1.011
"L[12,2]",-0.02642,0.01880,0.2534,-0.5290,-0.02760,0.4397,181.7,0.004964,1.010
"L[12,3]",0.01886,0.02000,0.2675,-0.5118,0.02577,0.5023,179.0,0.004890,1.001
"L[12,4]",0.01045,0.01774,0.2486,-0.4561,-0.01390,0.5496,196.3,0.005363,1.007
"L[12,5]",0.02556,0.01777,0.2459,-0.4720,0.02811,0.4912,191.6,0.005235,1.016
"L[12,6]",-0.03259,0.01908,0.2455,-0.5140,-0.03349,0.4292,165.6,0.004524,1.042
"L[12,7]",-0.003585,0.01961,0.2628,-0.5494,0.01105,0.4765,179.6,0.004907,1.026
"L[12,8]",0.01955,0.01439,0.2316,-0.4825,0.02904,0.4413,259.1,0.007079,1.012
"L[12,9]",0.02417,0.01491,0.2394,-0.4681,0.01106,0.4601,257.8,0.007044,1.004
"L[12,10]",0.01398,0.02046,0.2532,-0.5041,0.02495,0.4666,153.2,0.004187,1.014
"L[12,11]",0.02964,0.01942,0.2461,-0.4574,0.03554,0.4822,160.6,0.004388,1.029
"L[12,12]",0.5455,0.008503,0.1388,0.2533,0.5434,0.8062,266.7,0.007286,1.007
"L[12,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[13,1]",-0.05088,0.01590,0.2371,-0.5084,-0.05288,0.4374,222.5,0.006078,1.004
"L[13,2]",-0.006580,0.02033,0.2664,-0.5250,-0.006140,0.4788,171.6,0.004689,1.019
"L[13,3]",-0.004430,0.01565,0.2338,-0.4733,0.005021,0.4183,223.1,0.006095,1.008
"L[13,4]",0.02689,0.01595,0.2500,-0.4792,0.02816,0.4848,245.8,0.006715,1.018
"L[13,5]",0.01151,0.01878,0.2457,-0.5148,0.02230,0.4276,171.3,0.004681,1.008
"L[13,6]",0.02330,0.01907,0.2510,-0.4582,0.02151,0.4945,173.3,0.004734,1.044
"L[13,7]",0.01487,0.01859,0.2462,-0.4660,0.003134,0.4612,175.5,0.004794,1.012
"L[13,8]",-0.002573,0.01546,0.2410,-0.4847,-0.01056,0.4554,243.1,0.006641,1.020
"L[13,9]",0.02052,0.02115,0.2485,-0.4600,0.01715,0.4753,138.0,0.003771,1.033
"L[13,10]",-0.009799,0.02357,0.2606,-0.5042,-0.03004,0.4928,122.2,0.003339,1.038
"L[13,11]",0.03975,0.01598,0.2534,-0.4579,0.04074,0.4980,251.7,0.006877,1.005
"L[13,12]",-0.02406,0.02051,0.2479,-0.5273,-0.02439,0.4364,146.0,0.003990,1.033
"L[13,13]",0.4791,0.01003,0.1485,0.1698,0.4870,0.7501,219.1,0.005987,1.003
"omega[1]",0.9311,0.02095,0.1847,0.6373,0.9059,1.339,77.69,0.002123,1.019
"omega[2]",0.2019,0.01214,0.09005,0.04693,0.1990,0.3905,55.06,0.001504,1.043
"omega[3]",0.2490,0.01636,0.09946,0.09051,0.2390,0.4581,36.94,0.001009,1.106
"omega[4]",0.6431,0.06278,0.4906,0.02171,0.5337,1.701,61.07,0.001668,1.075
"omega[5]",0.8759,0.03844,0.6402,0.04650,0.7261,2.345,277.4,0.007579,1.003
"omega[6]",0.8000,0.04082,0.5887,0.03739,0.6688,2.131,208.0,0.005683,1.003
"omega[7]",0.8647,0.05727,0.5438,0.03152,0.8086,2.009,90.18,0.002464,1.050
"omega[8]",0.2195,0.06582,0.1707,0.0002168,0.1968,0.5799,6.729,0.0001838,1.241
"omega[9]",0.7551,0.1502,0.4479,0.07904,0.7045,1.715,8.895,0.0002430,1.209
"omega[10]",0.7893,0.04581,0.6005,0.04491,0.6683,2.116,171.9,0.004696,1.011
"omega[11]",0.7492,0.04105,0.5869,0.02756,0.6048,2.097,204.4,0.005584,1.017
"omega[12]",0.7356,0.03624,0.5687,0.02641,0.5865,2.086,246.2,0.006726,1.002
"omega[13]",0.4562,0.03295,0.3890,0.004597,0.3585,1.393,139.4,0.003808,1.007
"etaStd[1,1]",-0.5636,0.04793,0.3506,-1.226,-0.5916,0.1109,53.49,0.001462,1.073
"etaStd[1,2]",0.4492,0.04310,0.3869,-0.2987,0.4382,1.208,80.58,0.002202,1.035
"etaStd[1,3]",1.188,0.05001,0.5555,0.2428,1.142,2.368,123.4,0.003371,1.052
"etaStd[1,4]",1.899,0.08542,0.5835,0.7474,1.852,3.110,46.65,0.001275,1.083
"etaStd[1,5]",0.1688,0.08863,0.3502,-0.5535,0.1656,0.9160,15.61,0.0004266,1.097
"etaStd[1,6]",-0.1271,0.08219,0.4071,-0.8552,-0.1579,0.7123,24.53,0.0006703,1.095
"etaStd[1,7]",-1.082,0.03746,0.2819,-1.640,-1.094,-0.5641,56.63,0.001547,1.093
"etaStd[1,8]",-0.3123,0.05147,0.3013,-0.9563,-0.3259,0.2632,34.27,0.0009363,1.098
