name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"L[11,4]",-0.02286,0.03114,0.2541,-0.4828,-0.04159,0.4466,66.58,0.001716,1.043
"L[11,5]",0.007684,0.02063,0.2564,-0.5218,0.02521,0.4934,154.5,0.003982,1.036
"L[11,6]",0.01386,0.01556,0.2468,-0.4960,0.03065,0.4958,251.3,0.006478,1.007
"L[11,7]",-0.01312,0.01264,0.2255,-0.4572,-0.02379,0.4245,318.1,0.008200,1.008
"L[11,8]",-0.04215,0.03317,0.2761,-0.5975,-0.03188,0.4462,69.26,0.001785,1.032
"L[11,9]",-0.0003901,0.01537,0.2400,-0.4733,-0.02449,0.4640,243.6,0.006279,1.004
"L[11,10]",0.02764,0.01807,0.2391,-0.4965,0.03423,0.4605,175.0,0.004510,1.026
"L[11,11]",0.5771,0.02314,0.1555,0.2573,0.5832,0.8360,45.17,0.001164,1.067
"L[11,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[11,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[12,1]",0.02125,0.01707,0.2393,-0.4350,0.01613,0.4850,196.6,0.005067,1.030
"L[12,2]",-0.02555,0.03423,0.2498,-0.5159,-0.008840,0.4130,53.28,0.001373,1.063
"L[12,3]",0.02648,0.02181,0.2497,-0.4865,0.03657,0.4299,131.1,0.003379,1.001
"L[12,4]",-0.02645,0.01827,0.2513,-0.4892,-0.02778,0.4414,189.1,0.004875,1.012
"L[12,5]",-0.01557,0.02148,0.2587,-0.5383,-0.02109,0.4626,145.1,0.003740,1.021
"L[12,6]",0.004203,0.01436,0.2549,-0.5343,0.02247,0.4393,315.2,0.008124,1.009
"L[12,7]",-0.04503,0.02574,0.2545,-0.5906,-0.04406,0.4423,97.72,0.002519,1.035
"L[12,8]",-0.02398,0.02185,0.2523,-0.5154,-0.03157,0.4579,133.3,0.003437,1.032
"L[12,9]",0.01118,0.01506,0.2215,-0.4498,0.01420,0.4308,216.3,0.005575,1.021
"L[12,10]",0.03352,0.02664,0.2694,-0.5064,0.03480,0.4570,102.3,0.002637,1.042
"L[12,11]",0.02985,0.01957,0.2670,-0.5927,0.05153,0.4950,186.1,0.004798,1.024
"L[12,12]",0.5238,0.008861,0.1409,0.2005,0.5190,0.7807,252.7,0.006514,1.005
"L[12,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[13,1]",-0.03944,0.01932,0.2376,-0.4795,-0.05003,0.4277,151.3,0.003899,1.032
"L[13,2]",0.002902,0.01331,0.2271,-0.4502,0.006923,0.4240,291.1,0.007504,1.004
"L[13,3]",-0.01128,0.01602,0.2331,-0.4782,-0.007650,0.4149,211.7,0.005457,1.013
"L[13,4]",-0.03752,0.02422,0.2592,-0.5094,-0.04630,0.4495,114.5,0.002952,1.022
"L[13,5]",0.03641,0.01768,0.2512,-0.4743,0.04329,0.4840,201.9,0.005204,1.018
"L[13,6]",0.03174,0.03516,0.2697,-0.4999,0.009711,0.5207,58.86,0.001517,1.041
"L[13,7]",0.01947,0.02086,0.2599,-0.5126,0.01213,0.4878,155.3,0.004003,1.013
"L[13,8]",-0.009287,0.01429,0.2347,-0.4761,-0.0003489,0.4338,269.9,0.006957,1.007
"L[13,9]",0.05708,0.01829,0.2549,-0.4863,0.05473,0.5643,194.3,0.005009,1.008
"L[13,10]",0.01414,0.02034,0.2580,-0.5166,0.01435,0.4774,160.8,0.004145,1.012
"L[13,11]",-0.01130,0.02887,0.2504,-0.5039,-0.01843,0.4826,75.22,0.001939,1.053
"L[13,12]",0.001011,0.01910,0.2530,-0.5287,-0.02023,0.4567,175.5,0.004523,1.021
"L[13,13]",0.4705,0.009432,0.1523,0.1783,0.4715,0.7608,260.6,0.006717,1.029
"omega[1]",0.5660,0.01245,0.1223,0.3439,0.5598,0.8118,96.51,0.002488,1.013
"omega[2]",0.1204,0.01242,0.07673,0.01035,0.1111,0.2870,38.15,0.0009833,1.109
"omega[3]",0.3322,0.008536,0.07885,0.2046,0.3229,0.5098,85.34,0.002200,1.074
"omega[4]",0.8357,0.05677,0.6301,0.03174,0.7209,2.252,123.2,0.003176,1.012
"omega[5]",0.7345,0.03500,0.5600,0.02478,0.5898,1.991,256.0,0.006599,1.008
"omega[6]",0.8509,0.06039,0.6063,0.02700,0.7312,2.121,100.8,0.002599,1.015
"omega[7]",2.552,0.09676,0.6409,1.506,2.441,3.824,43.87,0.001131,1.075
"omega[8]",0.9383,0.06615,0.5448,0.1071,0.8758,2.048,67.81,0.001748,1.019
"omega[9]",1.083,0.08126,0.6711,0.06444,1.023,2.512,68.19,0.001758,1.032
"omega[10]",0.8384,0.03088,0.5631,0.05049,0.7535,2.130,332.6,0.008573,1.003
"omega[11]",0.7515,0.04483,0.6079,0.06295,0.5854,2.187,183.9,0.004740,1.022
"omega[12]",0.8055,0.04660,0.5839,0.01900,0.7044,2.031,157.0,0.004047,1.015
"omega[13]",0.4462,0.04386,0.4068,0.008768,0.3139,1.393,86.02,0.002217,1.037
"etaStd[1,1]",0.7812,0.03971,0.3772,0.04652,0.7802,1.577,90.23,0.002326,1.008
"etaStd[1,2]",-1.187,0.04433,0.5503,-2.302,-1.172,-0.08761,154.1,0.003972,1.037
"etaStd[1,3]",-0.1548,0.03374,0.3505,-0.9468,-0.1495,0.4695,107.9,0.002781,1.026
"etaStd[1,4]",-0.3840,0.04706,0.4163,-1.208,-0.3696,0.3100,78.26,0.002017,1.052
"etaStd[1,5]",-0.7076,0.03623,0.4340,-1.553,-0.7422,0.1818,143.5,0.003700,1.017
"etaStd[1,6]",-0.4981,0.1218,0.4127,-1.378,-0.5057,0.2284,11.47,0.0002958,1.117
"etaStd[1,7]",-0.7579,0.03293,0.3047,-1.476,-0.7351,-0.1928,85.64,0.002208,1.025
"etaStd[1,8]",0.8364,0.06309,0.5782,-0.3449,0.8412,1.985,83.99,0.002165,1.019
"etaStd[1,9]",0.5317,0.04525,0.4015,-0.2048,0.5311,1.307,78.71,0.002029,1.017
"etaStd[1,10]",-0.5666,0.03673,0.3275,-1.332,-0.5563,0.02835,79.49,0.002049,1.036
"etaStd[1,11]",-0.07935,0.04929,0.5000,-1.166,-0.05636,0.8470,102.9,0.002652,1.040
"etaStd[1,12]",0.5787,0.03801,0.4306,-0.2221,0.5612,1.477,128.3,0.003307,1.007
"etaStd[1,13]",-0.03454,0.04767,0.4408,-0.9210,-0.06994,0.8804,85.53,0.002205,1.011
"etaStd[1,14]",-0.06091,0.06909,0.4667,-0.9765,-0.08237,0.8600,45.63,0.001176,1.072
"etaStd[1,15]",-1.193,0.04804,0.5079,-2.155,-1.206,-0.1193,111.8,0.002881,1.084
"etaStd[1,16]",0.4811,0.04068,0.3740,-0.1753,0.4411,1.262,84.51,0.002179,1.009
"etaStd[1,17]",-0.7421,0.04419,0.4871,-1.644,-0.7738,0.4228,121.5,0.003131,1.017
"etaStd[1,18]",1.511,0.04040,0.4361,0.6323,1.486,2.375,116.6,0.003005,1.009
"etaStd[1,19]",2.078,0.04755,0.6097,0.8626,2.096,3.237,164.4,0.004239,1.004
"etaStd[2,1]",0.3114,0.07456,0.8951,-1.456,0.2796,2.048,144.1,0.003715,1.045
"etaStd[2,2]",0.3625,0.1054,1.029,-1.661,0.3316,2.119,95.24,0.002455,1.049
"etaStd[2,3]",0.04218,0.07870,0.8364,-1.702,0.04082,1.555,112.9,0.002911,1.014
"etaStd[2,4]",-0.4074,0.07949,0.9630,-2.411,-0.4326,1.337,146.8,0.003783,1.018
"etaStd[2,5]",-0.3505,0.2571,1.011,-2.274,-0.2947,1.396,15.46,0.0003985,1.095
"etaStd[2,6]",0.3757,0.1414,0.9121,-1.594,0.3892,2.105,41.62,0.001073,1.051
"etaStd[2,7]",0.02961,0.08178,0.9253,-1.831,-0.03982,1.898,128.0,0.003300,1.029
"etaStd[2,8]",-0.7406,0.1294,1.078,-2.637,-0.8397,1.396,69.49,0.001791,1.078
"etaStd[2,9]",-0.2445,0.09813,0.9871,-2.027,-0.3782,1.734,101.2,0.002608,1.042
"etaStd[2,10]",-0.003952,0.09784,0.8751,-1.769,0.07252,1.638,80.00,0.002062,1.054
"etaStd[2,11]",0.04510,0.09403,1.002,-2.007,0.01243,1.949,113.6,0.002929,1.013
"etaStd[2,12]",-0.1866,0.08991,0.9096,-2.020,-0.2012,1.595,102.3,0.002638,1.029
"etaStd[2,13]",0.3056,0.1133,0.9232,-1.568,0.3604,2.024,66.35,0.001710,1.048
"etaStd[2,14]",0.2619,0.1283,1.027,-2.050,0.3783,1.918,64.06,0.001651,1.072
"etaStd[2,15]",0.5790,0.1162,0.9759,-1.487,0.6671,2.302,70.48,0.001817,1.049
"etaStd[2,16]",-0.3814,0.05508,0.8231,-2.165,-0.4209,1.094,223.3,0.005757,1.014
"etaStd[2,17]",0.1167,0.1105,0.9937,-1.956,0.1002,2.028,80.82,0.002083,1.028
"etaStd[2,18]",-0.005996,0.1141,0.9925,-1.911,-0.06818,1.896,75.71,0.001952,1.046
"etaStd[2,19]",-0.1044,0.09763,1.055,-2.740,-0.03253,1.698,116.7,0.003008,1.030
"etaStd[3,1]",0.8966,0.1088,0.5153,-0.2218,0.9188,1.854,22.42,0.0005779,1.093
